"Don't see your tags in the report? New tags are excluded by default - go to https://console.amazonaws.cn/billing/home#/preferences/tags to update your cost allocation keys."
"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordID","BillingPeriodStartDate","BillingPeriodEndDate","InvoiceDate","PayerAccountName","LinkedAccountName","TaxationAddress","PayerPONumber","ProductCode","ProductName","SellerOfRecord","UsageType","Operation","AvailabilityZone","RateId","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","BlendedRate","CurrencyCode","CostBeforeTax","Credits","TaxAmount","TaxType","TotalCost","user:Application","user:Billing","user:Function","user:Name","user:Owner","user:Stack","user:billing","user:date","user:id","user:test","user:type","user:user:Billing"
"92007028","412764460734","425155429375","LinkedLineItem","400000000540275235","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","中关村软件园, 软件广场C座302室, 海淀, 北京, 100190, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-EBS:VolumeUsage.gp2","","","19261060","0.746 CNY per GB-month of General Purpose SSD (gp2) provisioned storage","2017/01/23 06:38:03","2017/01/31 23:59:59","2.25806490","0.745999816","CNY","1.684516","0.000000","0.100000","VAT","1.784516","","","","","","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000539204277","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-EBS:VolumeUsage","","","19261157","0.409 CNY per GB-month of Magnetic provisioned storage ","2017/01/01 00:00:00","2017/01/19 09:40:37","0.01075269","0.4090139305","CNY","0.004398","0.000000","0.000000","None","0.004398","","","","","","","","","","","",""
"92007028","412764460734","515743265704","LinkedLineItem","400000000562126205","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AmazonCloudWatch","AmazonCloudWatch","Amazon Web Services, Inc.","CNN1-DataProcessing-Bytes","PutLogEvents","","9299922","First 5GB per month of log data ingested is free.","2017/01/19 10:00:55","2017/01/31 23:59:59","0.00196455","0.0","CNY","0.000000","0.000000","0.000000","None","0.000000","","","","","","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000539204267","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-EBS:VolumeIOUsage","","","19260894","0.409 CNY per 1 million I/O requests","2017/01/01 00:00:00","2017/01/19 09:40:37","36521.00000000","4.09E-7","CNY","0.014937","0.000000","0.000000","None","0.014937","","","","","","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000539204262","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AWSCloudTrail","AWS CloudTrail","Amazon Web Services, Inc.","CNN1-FreeEventsRecorded","","","12296695","0.0 per free event ","2017/01/01 00:00:00","2017/01/19 09:40:37","12359.00000000","0.0","CNY","0.000000","0.000000","0.000000","None","0.000000","","","","","","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000539204284","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AWSCloudTrail","AWS CloudTrail","Amazon Web Services, Inc.","CNN1-FreeEventsRecorded","","","12296695","0.0 per free event ","2017/01/19 09:44:23","2017/01/31 23:59:59","13027.00000000","0.0","CNY","0.000000","0.000000","0.000000","None","0.000000","","","","","","","","","","","",""
"92007028","412764460734","515743265704","LinkedLineItem","400000000562126208","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AWSCloudTrail","AWS CloudTrail","Amazon Web Services, Inc.","CNN1-FreeEventsRecorded","","","12296695","0.0 per free event ","2017/01/19 10:00:55","2017/01/31 23:59:59","1961.00000000","0.0","CNY","0.000000","0.000000","0.000000","None","0.000000","","","","","","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000537287647","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AWSStorageGateway","AWS Storage Gateway","Amazon Web Services, Inc.","CNN1-Uploaded-Bytes","","","19083357","CNY 0.0667 per GB - first 11.4 TB / month data written by your gateway to AWS storage","2017/01/19 09:44:23","2017/01/31 23:59:59","0.00002184","0.0457875458","CNY","0.000001","0.000000","0.000000","None","0.000001","","","","","","","","","","","",""
"92007028","412764460734","515743265704","LinkedLineItem","400000000562126206","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","CNN1-DataTransfer-In-Bytes","","","12296873","0.000 CNY per GB - data transfer in per month","2017/01/19 10:00:55","2017/01/31 23:59:59","0.00063623","0.0","CNY","0.000000","0.000000","0.000000","None","0.000000","","","","","","","","","","","",""
"92007028","412764460734","425155429375","LinkedLineItem","400000000540275234-0","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","中关村软件园, 软件广场C座302室, 海淀, 北京, 100190, CN","","AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","CNN1-DataTransfer-Out-Bytes","","","12296874","0.933 CNY per GB - data transfer out of CNN1","2017/01/23 06:38:03","2017/01/31 23:59:59","0.00215584","0.9329798286","CNY","0.002011","0.000000","0.000000","None","0.002011","","","","","","","","","","","",""
"92007028","412764460734","425155429375","LinkedLineItem","400000000540275234-1","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","中关村软件园, 软件广场C座302室, 海淀, 北京, 100190, CN","","AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","CNN1-DataTransfer-Out-Bytes","","","12296874","0.933 CNY per GB - data transfer out of CNN1","2017/01/23 06:38:03","2017/01/31 23:59:59","0.01911686","0.9329798286","CNY","0.017836","0.000000","0.000000","None","0.017836","","","","","","","","","","test","test",""
"92007028","412764460734","515743265704","LinkedLineItem","400000000567025540","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","28th Floor  Shanghai Times Square Office Tower, No. 93 Huaihai Road middle, Shanghai, Shanghai, 200021, CN","","AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","CNN1-Requests-Tier1","","","20242385","CNY 0.0045 per 1,000 PUT, COPY, POST, or LIST requests","2017/01/19 10:00:55","2017/01/31 23:59:59","233.00000000","0.0000045021","CNY","0.001049","0.000000","0.000000","None","0.001049","","","","","","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000539204297","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","CNN1-ElasticIP:Remap","","","19260607","0.000 CNY per Elastic IP address remap - first 100 remaps / month","2017/01/01 00:00:00","2017/01/19 09:40:37","1.00000000","0.0","CNY","0.000000","0.000000","0.000000","None","0.000000","","","","","","","","","","","",""
"92007028","412764460734","425155429375","LinkedLineItem","400000000540275228","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","中关村软件园, 软件广场C座302室, 海淀, 北京, 100190, CN","","AmazonDynamoDB","Amazon DynamoDB","Amazon Web Services, Inc.","CNN1-WriteCapacityUnit-Hrs","CommittedThroughput","cn-north-1","12296295","CNY 0.0058 per hour for units of write capacity","2017/01/23 06:38:03","2017/01/31 23:59:59","1050.00000000","0.0058","CNY","6.090000","0.000000","0.370000","VAT","6.460000","","","","","","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000556027322-0","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","CNN1-Requests-Tier1","","","20242385","CNY 0.0045 per 1,000 PUT, COPY, POST, or LIST requests","2017/01/01 00:00:00","2017/01/19 09:40:37","3379.96718958","0.0000045001","CNY","0.015210","0.000000","0.000000","None","0.015210","","","","","","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000556027322-1","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","CNN1-Requests-Tier1","","","20242385","CNY 0.0045 per 1,000 PUT, COPY, POST, or LIST requests","2017/01/01 00:00:00","2017/01/19 09:40:37","5.88844458","0.0000045001","CNY","0.000026","0.000000","0.000000","None","0.000026","","","","","","","","","","","","S3-Billing"
"92007028","412764460734","412764460734","LinkedLineItem","400000000556027322-2","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","CNN1-Requests-Tier1","","","20242385","CNY 0.0045 per 1,000 PUT, COPY, POST, or LIST requests","2017/01/01 00:00:00","2017/01/19 09:40:37","2063.89982569","0.0000045001","CNY","0.009288","0.000000","0.000000","None","0.009288","","","test","","","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000556027322-3","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","CNN1-Requests-Tier1","","","20242385","CNY 0.0045 per 1,000 PUT, COPY, POST, or LIST requests","2017/01/01 00:00:00","2017/01/19 09:40:37","3.53306675","0.0000045001","CNY","0.000016","0.000000","0.000000","None","0.000016","","","test","","xuhuan","","","","","","",""
"92007028","412764460734","412764460734","LinkedLineItem","400000000556027322-4","2017/01/01 00:00:00","2017/01/31 23:59:59","2017/02/04 02:46:28","","","甲10号院402楼5层501内(5-B 区), 朝阳区酒仙桥北路, 北京市, beijing, beijing, 100015, CN","","AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","CNN1-Requests-Tier1","","","20242385","CNY 0.0045 per 1,000 PUT, COPY, POST, or LIST requests","2017/01/01 00:00:00","2017/01/19 09:40:37","0.58884446","0.0000045001","CNY","0.000003","0.000000","0.000000","None","0.000003","","","","","","","","","","","","S3-xh"
